"Time","Production_1","Production_2","Production_3","Production_4","Production_5","Production_6","Production_7","Production_8","Production_9","Production_10"
"1","0.0","0.0","0.0","19.13969933847389","0.0","0.0","21.347389700656635","16.219739952600136","10.043753689459244","0.0"
"2","0.0","0.0","0.0","64.81466024641033","0.0","0.0","66.05306399707038","63.20727120774848","60.549282316197925","0.0"
"3","0.0","0.0","0.0","68.78436224510948","0.0","0.0","63.96817935557833","66.39147737952091","68.13112443072589","0.0"
"4","0.0","0.0","0.0","75.83273460783043","8.450503182204706","0.0","55.65083345695073","65.09884054518552","72.16290725276711","0.0"
"5","26.666972363252327","0.0","8.226558801552311","105.1424042668507","35.68517369143584","0.0","64.47240165437535","79.07762829516183","102.64944239833537","0.0"
"6","38.03879372126593","0.0","30.217743830439055","132.63709652082287","36.18799390137462","0.0","74.40228515034018","102.55430169695539","118.26708331549905","0.0"
"7","39.83748501053871","20.83200195856835","38.163510383084365","96.41599576987795","37.486566995640544","2.9835908039971457","71.69072587721176","96.63720875864922","79.15543322789729","0.0"
"8","36.137038700448365","23.56660133717189","31.026599693861037","77.08792225640308","32.20669571855849","19.2720465182453","69.32415618026815","73.9193598793604","74.11060364066108","0.0"
"9","30.872588538325907","21.765092619900386","27.311821456452975","78.53413810217478","29.926284994798316","15.884534771115003","68.99464701865543","76.0304250043677","72.49420310668918","0.0"
"10","33.633245605666254","21.36684714751636","28.195127667674818","79.75124460589863","30.401566002790148","16.013474060864414","72.91358705181271","76.1108568768824","73.74440587248917","0.0"
"11","35.83637854235356","21.832111283391626","28.802406824948022","84.29992848709351","31.924849662412072","18.003549906090218","72.88698999476725","77.22298239033792","75.1030395366201","0.0"
"12","35.4571045548173","21.18059799751992","28.768665607294114","85.21338191539046","33.96913867019188","18.206671680619724","73.29263973886032","77.59880437437403","76.321526758989","0.0"
"13","34.709416969930324","22.411678076469354","28.843557583602546","84.72471964564717","35.678730655799534","17.821138513671848","74.48456409811585","77.41301908955997","76.40685732487424","0.0"
"14","32.53848592484671","22.614800603106424","26.91686618021582","85.00383330539337","33.692411118534736","14.670720135423188","75.96850702343875","77.34106905531623","77.53287593744413","0.0"
"15","34.12357913456949","22.864099379161026","26.904028751587916","86.154495024095","36.29500967252492","17.640179799749014","74.54658622475438","77.87881665596709","79.99946245870558","0.0"
"16","36.057972600554294","22.234537110599337","31.363805474844728","85.03306167117968","36.9852324614546","21.135523483211212","74.8913177571461","78.81720312712986","77.52730440400083","0.0"
"17","37.46859688272234","22.084098697701528","31.215445560056306","72.9441418312677","36.85922251809146","20.353955476956155","76.1555641929771","74.17469770403872","66.05457676998456","0.0"
"18","34.27010422101145","22.806991699005984","28.658618383792522","76.74051426850882","34.128505739204776","15.550771419542105","77.26876006039149","65.10423833977346","73.95369569620635","0.0"
"19","32.82530647427453","23.84596132316176","30.633885907911584","84.27411233573727","35.384910478582015","17.722448521482228","74.31858121333295","76.83157578395037","78.81350999244806","0.0"
"20","35.838295538600946","24.230606771464068","32.340622348579835","89.38440329266605","37.402300473053906","21.357198449722627","75.79224653551566","78.78790255891778","82.39061891274822","0.0"
"21","38.26425211641857","25.451792800839957","32.486638404643244","91.91872843238636","38.47626473649275","21.608473233867187","74.42069579429501","80.81230750959747","86.01603269809577","0.0"
"22","40.51410482383631","27.648705435830077","35.99571375817279","92.02565582598622","37.4665123760501","22.58993791541745","77.07566719449562","81.83128616633594","87.38421439209318","0.0"
