"Time","Material_1","Material_2","Material_3","Material_4","Material_5","Material_6","Material_7","Material_8","Material_9","Material_10"
"1","80.0","80.0","80.0","73.3667060048642","80.0","80.0","71.46104411973734","74.40110660696708","77.0520868175717","0.0"
"2","80.0","80.0","80.0","50.90372531712464","80.0","80.0","45.03981852090919","52.77582280089202","59.28044156965823","0.0"
"3","80.0","80.0","80.0","32.78875313612271","80.0","80.0","26.191674135888572","37.66556879277742","42.742073395489314","0.0"
"4","80.0","80.0","80.0","26.005125013028156","76.80557638290846","80.0","26.10482242504365","32.58081788303437","33.87186060816134","0.0"
"5","71.84455971865225","80.0","77.11312881024212","19.742969009044668","63.31601733984609","80.0","23.364649937870446","29.017344045140696","27.72925627605144","0.0"
"6","60.21132643132996","80.0","66.50909178966954","12.820393620513004","49.6363843190398","80.0","19.2174430418374","26.612097236309197","25.559819817112135","0.0"
"7","48.0280074726977","72.37897802810397","53.11671944022954","22.469422175888663","35.745775611562046","78.85378608574021","18.24547565193042","29.733753025436954","33.75615476783809","0.0"
"8","41.13227383578172","63.75755091079182","42.22883801458941","24.04483522114644","31.39423275331791","71.4499933652772","16.56766088203885","33.69270000052349","28.94751077477021","0.0"
"9","37.53477736030361","55.795174111552484","33.13978626071426","20.796914424113034","28.23229710885464","65.347589928518","12.89848433481354","31.837707405195623","26.975305990886664","0.0"
"10","31.997293123312105","47.97848842261945","25.844428540579198","18.863896312944654","25.363952811161795","59.19565154621348","10.671834383228335","31.34643207025083","25.833633697247937","0.0"
"11","27.209667225117965","39.991594022622905","22.367637661854353","16.480995751864803","23.455614754605406","52.27918050039017","11.026753268741597","30.531790765684033","24.877365086973377","0.0"
"12","24.886091831917305","33.444484403770645","19.30474908310267","15.6434089032764","21.382885104354244","45.28467562903591","11.120756015971807","30.080392741617356","24.064964713893417","0.0"
"13","22.541009283410993","27.79652203052412","17.900432721010308","15.252218497871336","19.22738120531261","38.438282046861204","10.937673750047542","29.788363086448488","23.49086123988157","0.0"
"14","20.452554089519595","23.561615761835625","17.70219753918252","14.38389338819744","18.438931307014673","33.6560511209885","10.74167579014082","29.392401003434646","22.501039021519674","0.0"
"15","16.93844293531624","21.144127085689444","16.133829437985842","13.366677006956767","16.19221753103115","27.645052033266165","11.652950580759267","28.782689034954085","21.32064890404365","0.0"
"16","14.576984640678571","19.849719035567908","12.69755434595416","13.69673494977937","15.59222053564652","20.82736448525463","11.490222581443765","28.238350959846095","22.097673971803736","0.0"
"17","12.561953438296756","18.606965768316215","12.073429130554086","16.744769996793366","15.34857668242713","15.983332796168678","10.782777877956814","29.743436337454792","24.526679425267172","0.0"
"18","12.885849704039178","16.90272266418145","12.388245939018443","10.166814932214354","16.20275625260246","12.971844308251903","11.1734567292158","31.558063941096687","17.323701373778587","0.0"
"19","13.151591356241278","15.343795265496393","10.740339718037239","4.46842188787123","15.177882189735529","9.549271335143393","11.842770995619265","22.78228623669373","14.503851510806122","0.0"
"20","12.151318997825474","13.982819662418121","9.32165441667107","2.3462080680770887","13.952630073193404","7.020678750225369","10.394987863267424","21.643979519332117","13.363078342127213","0.0"
"21","11.28482991089305","13.172971918474245","8.454210545441379","1.114947333930437","12.961170706302942","6.240557112762023","10.80203743201008","20.837377214162473","12.383825739552094","0.0"
"22","10.592567623629353","12.637937961149964","7.5548053527543875","0.8495031479380537","12.437576883478481","5.971606410195216","11.297743244280888","21.41384294004344","11.996358694125833","0.0"
"23","11.702929132663847","12.258443262765855","7.6102735782704425","3.187998967090232","13.09211829956437","6.5167219445024","12.611423529698948","24.098625795310017","12.57164461387614","0.0"
"24","12.824975710147188","12.409885721643827","8.046092327970813","4.9569014604229595","13.705780687161397","7.555291074830089","15.840344963143082","26.28864496577925","13.749282849099135","0.0"
"25","12.10809721010982","11.60442112879219","6.936707800375892","3.7294929391907203","13.201582042288504","7.125244804270729","15.871632407538804","24.327789831759674","12.722106492388164","0.0"
"26","11.45266178727655","13.832455592866221","7.484105401321321","4.208638859877768","10.81318130659346","4.35256614072349","13.509317818728595","23.179985895791248","13.667752880177659","0.0"
"27","20.764336630692497","14.33613311220404","13.472051369499084","23.55468840721831","24.625052743357994","13.646054642385929","21.681425097016458","37.37116606531973","23.055558739247495","0.0"
"28","23.358320035391444","11.890266303286985","11.092466149122574","18.538034557215315","28.046936918892687","21.46363328204886","24.112015533609345","34.84035040487788","21.842628396307006","0.0"
"29","22.74204952426482","16.46422440673511","12.538692177915674","19.097810780925382","25.84167371252379","17.82832283981548","23.88320244082984","35.05303222987174","22.704364426498536","0.0"
"30","22.957413532206953","15.682245236028784","12.025831089190584","19.25384178053323","26.17543706848228","17.575756706772726","24.07031781861525","35.07740963036132","22.775942530408905","0.0"
"31","22.5673034771123","15.461620626120245","11.570667633929359","18.828476005157437","26.056670570023424","17.0815775971893","23.933889867666466","34.90859742973173","22.26369339288682","0.0"
"32","22.335079888635985","15.244554985320752","10.995135580890464","18.44599222660546","25.914478397962156","16.654642123675007","23.81302978979921","34.484185988377696","22.06289088331173","0.0"
"33","21.95026162636619","15.179671253820295","10.654020945430819","18.247742627559862","25.781192210078313","16.478276768058002","23.687968365768363","34.29615959739956","22.06077476941216","0.0"
"34","21.89239110277332","15.308088320242454","10.586026013871704","18.25489676080054","25.682875131011702","16.39217693719753","23.66373026243668","34.313177211664666","22.044026529636035","0.0"
"35","22.06477480063348","15.37791256318476","10.495750684136087","18.575087240480038","25.95684069683567","16.76522031566884","24.032156149969595","34.5720187375822","22.0634611581956","0.0"
"36","22.821467852543563","15.191497061370553","10.722333856602523","19.726096274378644","27.26838934829352","18.08035637179355","24.849483699730776","35.51911402033805","22.36480519521838","0.0"
"37","24.60922002723343","15.859197891546607","11.36729243093893","22.585712368300225","29.707955472063674","20.36541939741876","27.034898331271656","37.704340732110445","24.341747573113594","0.0"
"38","24.846628779566437","16.787433004297053","10.021283452130634","21.58387211236669","28.408655359997372","20.36541939741876","27.039352840121985","35.81016494004165","26.44021562833343","0.0"
"39","16.674874509806777","17.976842604247466","8.15369221045507","8.901950328007231","17.982485512170925","16.610878503138885","14.900062279053834","26.895339968207644","18.287671824052715","0.0"
"40","16.16454953705912","13.124235090968043","6.214382258430522","7.971601839881712","14.799442766727664","9.459859193045782","14.192789696870193","26.018893054760618","17.17818534485869","0.0"
"41","15.495876312290896","12.888085368167653","5.107018248450439","6.8712393228974324","13.763913199830276","4.104681262346909","13.066990027685804","25.40570724284472","16.644142524092675","0.0"
"42","14.99371999297831","12.304202648383091","4.247758293366584","6.141393949983094","13.150146411565048","3.6045911222719185","12.231880777368758","24.833452395772397","16.10271596227227","0.0"
"43","14.692165219440014","12.07972333564766","3.723812984341461","5.739166348130825","12.839363170366273","3.2813144813300275","11.941419651599094","24.51962044389308","15.814458196382244","0.0"
"44","14.52157283789822","11.977451015288255","3.3379714875686584","5.503639456634244","12.688945361338487","3.1297190700863533","11.806454499441443","24.29007067624141","15.5944231357019","0.0"
"45","14.35779605226635","11.937140451879435","3.0047616703205","5.334789377111183","12.601716031033714","3.046701169505341","11.77980300745109","24.172634944820658","15.371779544248575","0.0"
"46","14.178208330297132","11.895424812765253","2.783726587188398","5.130650232779377","12.49921878324859","2.9585113582475007","11.755133885670151","24.039152501423832","15.170374640353492","0.0"
"47","13.91214996868148","11.808122516914988","2.634805179271643","4.841058219425394","12.342214076289563","2.8145747508238257","11.685890923265958","23.832365163336046","14.967175074842276","0.0"
"48","13.466732109878393","11.66996841233763","2.4028112778827655","4.360593802258851","12.093672964576943","2.539811269770375","11.54980163027416","23.51255662523468","14.79664301974595","0.0"
"49","13.383717012157692","11.794623287030305","2.4599037713987983","4.197684603156079","12.082823194434352","2.6128193413022367","11.736217851014676","23.39265788698416","14.902190833889199","0.0"
"50","14.783369698800213","12.650209597417344","3.625432042561437","5.959073661411477","13.319233992494816","4.392023911370841","12.502302679740652","24.803944555505854","15.989632079714362","0.0"
"51","12.760790278980398","11.65837208301112","2.458803580344733","4.101635154885466","12.231846568161746","2.0680273504726525","12.436402937805779","23.212802570453917","15.600166813769777","0.0"
"52","12.184746030860522","11.135741228665198","1.6143658721553371","3.0378092453324776","11.338407412519118","1.1923284731920372","10.961565240449092","22.331289905352723","14.743993333501628","0.0"
"53","11.898742608602307","10.757052355815546","1.1710537137039205","2.2821857878294334","10.840145894476853","0.7887579134085096","10.498967104388775","21.50377921129469","14.11037541878331","0.0"
"54","11.510852904323272","10.64132031304543","1.0015218629169378","1.7227914627749692","10.610267664508136","0.5320988427623154","10.810758785037255","21.48967224864401","13.8209589583777","0.0"
"55","11.313280764360485","10.577020489629831","0.8181285865097792","2.0079999927035157","10.493302393264818","0.31875667931345","10.458451946672778","22.33607544119023","14.152252916883302","0.0"
"56","11.918124993293812","10.495409293842725","0.7850453879220458","3.0966267370252534","10.603507538268671","0.3445884208221924","10.350954164172329","23.2025612204593","14.832959115652416","0.0"
"57","12.828218111183062","10.54071879472185","1.09303069815517","3.9391904487812317","10.712519918892383","0.5733267646884417","10.655921567189953","23.427888647647595","15.281509900214624","0.0"
"58","12.942733002380786","10.804540782807205","1.4867496200371342","3.892487437933742","10.885839969377335","0.7751147179619039","10.68065518804042","23.298539179936654","15.264452127654042","0.0"
"59","12.749512958311543","10.95334057704788","1.5138059432565014","3.8242344780890973","10.96918296791478","0.9230179943663521","10.702314131235227","23.318887421651624","15.253049296854233","0.0"
"60","12.770632704070904","10.920683270600485","1.4947262666436965","3.8301752629265566","11.024938456172363","0.9772811773774616","10.753344375980763","23.287502084020154","15.256856019678295","0.0"
"61","12.776070231913796","10.92379788888114","1.499695081060101","3.839211878214911","11.028656028401059","0.9855439929757792","10.754506258408918","23.275213058446408","15.233668034678015","0.0"
"62","12.891828278689875","11.030726376265198","1.5945892850675927","4.058266356966694","11.21460429902818","1.1766864239493136","10.993407534845062","23.45944097262863","15.34172515297929","0.0"
"63","12.809233135878577","10.964262107231187","1.560094935964432","3.8544161271254858","11.053931385911048","1.003299269813485","10.735035594270176","23.247643704031862","15.353739292400213","0.0"
"64","12.668838987651023","10.808858639644932","1.4142684620664216","3.630096255188276","10.842742161098792","0.7507019947592315","10.501596681270478","23.11622324373533","14.952451042062291","0.0"
"65","12.619038316639204","10.740689307994689","1.3088076010184069","3.7051730933143303","10.721069903782853","0.5922057047745556","10.38715494720216","23.26674180054304","15.005659462003221","0.0"
"66","12.830900515601478","10.72834689981087","1.311788324895391","3.8693790493796962","10.722520957093113","0.6529367450183869","10.343955007981087","23.132976035476293","15.078843779872503","0.0"
"67","12.86671247791317","10.791009341965282","1.4584748656979307","3.62683749094671","10.812808346742653","0.7749636323960293","10.473816992783465","22.660347564112683","14.82046711457419","0.0"
"68","11.993649709318856","10.90089961277788","1.4232520849039716","2.65549572336684","10.825806685549166","0.7605154453206648","10.95028564005186","22.1043553312303","14.268761169393969","0.0"
"69","11.076835949336987","10.658127373411697","0.8627555141897406","1.3696880660180566","10.516113928394285","0.5829735099154668","10.95523260023386","21.782862557653857","13.71398763670801","0.0"
"70","10.77302643641026","10.323365005704078","0.35628956018822244","1.2233624492215913","10.285567542023891","0.13736836451181061","10.463977900597614","21.883038816687545","13.743174410834628","0.0"
"71","11.62619690424006","10.229933527254476","0.33120914909370175","2.217507528411177","10.441304789121023","0.23976783090668963","10.594686686995567","22.27450228306748","14.0821144591999","0.0"
"72","12.54989608942308","10.654244113595267","0.7920697579038979","2.6936079155385895","10.988091952369551","0.6638550440798475","11.101458149479996","22.483091568536157","14.117648213705916","0.0"
"73","12.664594197066139","10.883316966434025","0.9245962836972965","2.731215141734379","11.110216791108003","0.9626319210107102","11.00995247292322","22.677592038110294","14.215951409144658","0.0"
"74","12.611129259299384","10.966227648496874","1.6377494226147975","4.136167135938843","10.809743499198607","0.2633019477780023","11.574446273620989","23.35795663803607","15.190740761932993","0.0"
"75","12.718141268436355","12.266718190082972","2.0772237487235747","5.010816460326058","13.140848785741914","2.976987071972009","12.099658959663357","23.684216077114932","16.046931906195702","0.0"
"76","12.732776680895993","12.191923785508491","1.879375720725378","3.7789959468780405","13.170235385779893","4.624549742712681","11.897829313068048","23.280817112730922","15.157191663217858","0.0"
"77","12.892499861940035","12.08905226266301","1.9964737482064754","3.900756268042777","12.836714288415996","3.601445242732148","12.077367411892887","23.26087214358531","15.170522414868206","0.0"
"78","12.825249160251023","12.056821803752628","1.9550237547974127","3.8211927385424733","12.83513370054567","3.5950206010654706","11.950312366708188","23.13702163998732","15.0905215147192","0.0"
"79","12.800685939909396","12.048708947120762","1.948781806536847","3.7467058414069383","12.827682609619007","3.5756226342659017","11.941416959893285","23.147674553951138","15.080586686271314","0.0"
"80","12.73604707756498","12.039004954724618","1.9265989907042271","3.770243814177938","12.799474673461802","3.5545357061104266","11.94347520230869","23.224818887060135","15.134450201459941","0.0"
"81","12.980100896598342","12.0124456584909","1.8579961982348585","4.023804000489662","12.759282734179935","3.534837849465171","11.879871493964131","23.327272323251975","15.241464275735105","0.0"
"82","13.004008897135227","12.032473948740078","2.007693887565161","4.0357488213047485","12.816479933463247","3.6098807769435535","11.990108553028058","23.461907500230293","15.291825076578725","0.0"
"83","12.205536432974275","12.171977824026879","2.000590640013317","3.4219290464808365","12.921388760797342","3.7774116751806064","12.063618252330574","23.253019209502288","15.180142345469541","0.0"
