variable,index,value
QG,CNAFO,0.04141881025801162
QG,CNALM,0.2517968092319076
QG,CNAHI,0.021464332330948202
QG,CNASE,4.4590436766903645
QH,CAGEX.HSHHLD,0.08165919520671266
QH,CAGFO.HLSUPP,0.06278699741711549
QH,CAGFO.HLSLOW,0.022981124239991397
QH,CAGFO.HSHHLD,0.40739217986865456
QH,CAGFO.HURBUPP,0.1362497289594941
QH,CAGFO.HURBLOW,0.274218415775202
QH,CAGOT.HLSUPP,0.37338521482329917
QH,CAGOT.HLSLOW,0.01562610734017353
QH,CAGOT.HSHHLD,0.37178455424533147
QH,CAGOT.HURBUPP,0.05295752061914347
QH,CAGOT.HURBLOW,0.17903727173817724
QH,CNAFO.HLSUPP,1.8316823625150969
QH,CNAFO.HLSLOW,0.025876602517815397
QH,CNAFO.HSHHLD,0.26085491344340844
QH,CNAFO.HURBUPP,2.107554178753995
QH,CNAFO.HURBLOW,0.5647031100146971
QH,CNALM.HLSUPP,2.734214510412384
QH,CNALM.HLSLOW,0.034070867564471294
QH,CNALM.HSHHLD,0.3993545316761922
QH,CNALM.HURBUPP,3.773245653922568
QH,CNALM.HURBLOW,0.7431459481379891
QH,CNAHI.HLSUPP,0.11747020068481011
QH,CNAHI.HLSLOW,0.00240174645214889
QH,CNAHI.HSHHLD,0.012498764475574766
QH,CNAHI.HURBUPP,0.4112796774659535
QH,CNAHI.HURBLOW,0.07283251055848498
QH,CNASE.HLSUPP,2.3509352836592288
QH,CNASE.HLSLOW,0.010378095360398276
QH,CNASE.HSHHLD,0.2541233385710365
QH,CNASE.HURBUPP,2.743411470266972
QH,CNASE.HURBLOW,0.3188665580466383
QINT,CAGEX.ANAFO,0.3548146432630793
QINT,CAGEX.ANALM,1.1078654393705698
QINT,CAGEX.ANASE,0.008375123755803468
QINT,CAGFO.ANAFO,0.25298969035929686
QINT,CAGOT.AAGEX,0.008236458178710639
QINT,CAGOT.AAGOT,0.2509065351418796
QINT,CAGOT.ANAFO,0.8513578028156294
QINT,CAGOT.ANALM,0.14058315580988975
QINT,CAGOT.ANASE,0.09317795399332217
QINT,CMINE.AMINE,0.09360850099333796
QINT,CMINE.ANAFO,0.04235831478399898
QINT,CMINE.ANALM,0.936246293311648
QINT,CMINE.ANAHI,0.289737034491924
QINT,CMINE.ANASE,0.11983862767107381
QINT,CNAFO.AAGEX,0.07437898923872491
QINT,CNAFO.AAGFO,0.024545407571407482
QINT,CNAFO.AAGOT,0.34935318809891297
QINT,CNAFO.ANAFO,0.27374452278228356
QINT,CNAFO.ANALM,0.040498630858872224
QINT,CNAFO.ANASE,0.15798466207521095
QINT,CNALM.AAGEX,0.46405293466275266
QINT,CNALM.AAGFO,0.2229818029493727
QINT,CNALM.AAGOT,0.15380997997914167
QINT,CNALM.AMINE,0.5301699296194771
QINT,CNALM.ANAFO,0.43641860653002146
QINT,CNALM.ANALM,3.087344538240117
QINT,CNALM.ANAHI,1.4010383444272618
QINT,CNALM.ANASE,4.105036151439355
QINT,CNAHI.AAGEX,0.03980342420778397
QINT,CNAHI.AAGFO,0.010793380957626714
QINT,CNAHI.AAGOT,0.032108497362308606
QINT,CNAHI.AMINE,0.049707698534902214
QINT,CNAHI.ANAFO,0.028693145385780206
QINT,CNAHI.ANALM,0.09334793492378637
