kind,index,value
SAM,CAGFO.HURBLOW,2.71450080691899409e-01
SAM,CAGFO.HURBUPP,1.34408109626385802e-01
SAM,CAGFO.ROW,9.17412955537925678e-02
SAM,CAGFO.TOTAL,1.22886479186419662e+00
SAM,CAGOT.AAGEX,8.12717383221092833e-03
SAM,CAGOT.AAGOT,2.44607747668247055e-01
SAM,CAGOT.ANAFO,8.24177706399997656e-01
SAM,CAGOT.ANALM,1.44230452624237421e-01
SAM,CAGOT.ANASE,9.24764993541493663e-02
SAM,CAGOT.HLSLOW,1.43742874618978059e-02
SAM,CAGOT.HLSUPP,3.62849767968895565e-01
SAM,CAGOT.HSHHLD,3.63583913299058370e-01
SAM,CAGOT.HURBLOW,1.75891924384263293e-01
SAM,CAGOT.HURBUPP,5.22866823128174951e-02
SAM,CAGOT.ROW,2.66906441251177108e-02
SAM,CAGOT.S-I,-3.03060000000000031e-02
SAM,CAGOT.TOTAL,2.27899079943089244e+00
SAM,CAPLSC.AAGEX,1.21893811342545200e+00
SAM,CAPLSC.AAGFO,2.06270455485939336e-01
SAM,CAPLSC.AAGOT,2.91159158515629568e-01
SAM,CAPLSC.TOTAL,1.71636772742702082e+00
SAM,CAPOT.AMINE,8.19451250687726507e-01
SAM,CAPOT.ANAFO,1.67551631268051304e+00
SAM,CAPOT.ANAHI,6.53660746947940852e-01
SAM,CAPOT.ANALM,2.88173553590566334e+00
SAM,CAPOT.ANASE,4.81343428344494306e+00
SAM,CAPOT.TOTAL,1.08437981296667871e+01
SAM,CAPSH.AAGEX,3.71910668290770935e-02
SAM,CAPSH.AAGFO,8.71738372132726397e-02
SAM,CAPSH.AAGOT,1.38910017437707811e-01
SAM,CAPSH.TOTAL,2.63274921480057544e-01
SAM,CMINE.AMINE,9.27740925135995265e-02
SAM,CMINE.ANAFO,4.10060007792113837e-02
SAM,CMINE.ANAHI,3.09840298871995212e-01
SAM,CMINE.ANALM,9.60536316560656966e-01
SAM,CMINE.ANASE,1.18936468332632023e-01
SAM,CMINE.ROW,8.90677658949424966e-01
SAM,CMINE.TOTAL,2.41377083600752007e+00
SAM,CNAFO.AAGEX,7.33921015430799711e-02
SAM,CNAFO.AAGFO,2.43561673735770631e-02
SAM,CNAFO.AAGOT,3.40582984150951229e-01
SAM,CNAFO.ANAFO,2.65005068585860315e-01
SAM,CNAFO.ANALM,4.15493294754032821e-02
SAM,CNAFO.ANASE,1.56795334885876880e-01
SAM,CNAFO.GOV,4.14188102580116263e-02
SAM,CNAFO.HLSLOW,2.34323383614619372e-02
SAM,CNAFO.HLSUPP,1.76262736367929462e+00
SAM,CNAFO.HSHHLD,2.52684423001791836e-01
SAM,CNAFO.HURBLOW,5.49841191082358849e-01
SAM,CNAFO.HURBUPP,2.05436656930070072e+00
SAM,CNAFO.ROW,1.80148439970353180e-01
SAM,CNAFO.S-I,-1.65863000000000010e-01
SAM,CNAFO.TOTAL,5.60033712166872188e+00
SAM,CNAHI.AAGEX,3.92752977839477754e-02
SAM,CNAHI.AAGFO,1.07101661427274619e-02
SAM,CNAHI.AAGOT,3.13024418290461931e-02
SAM,CNAHI.AMINE,4.92646135081599088e-02
SAM,CNAHI.ANAFO,2.77770999164440764e-02
SAM,CNAHI.ANAHI,3.07022251446942729e-01
SAM,CNAHI.ANALM,9.57697586743775364e-02
SAM,CNAHI.ANASE,2.97569937686093022e-01
SAM,CNAHI.GOV,2.14643323309481986e-02
SAM,CNAHI.HLSLOW,2.31688000236709036e-03
SAM,CNAHI.HLSUPP,1.15530399475469558e-01
SAM,CNAHI.HSHHLD,1.23456167696232959e-02
SAM,CNAHI.HURBLOW,7.20759800127638434e-02
SAM,CNAHI.HURBUPP,4.06548739922990732e-01
SAM,CNAHI.S-I,2.77407173507205540e+00
SAM,CNAHI.TOTAL,4.26304525057395711e+00
SAM,CNALM.AAGEX,4.57895710209531848e-01
SAM,CNALM.AAGFO,2.21262657712936711e-01
SAM,CNALM.AAGOT,1.49948715964379725e-01
SAM,CNALM.AMINE,5.25444095103546616e-01
SAM,CNALM.ANAFO,4.22485686946936279e-01
SAM,CNALM.ANAHI,1.49824871414762573e+00
SAM,CNALM.ANALM,3.16744276789108259e+00
SAM,CNALM.ANASE,4.07413295461013902e+00
SAM,CNALM.GOV,2.51796809231907726e-01
SAM,CNALM.HLSLOW,3.09434298125684168e-02
SAM,CNALM.HLSUPP,2.62693750434041817e+00
SAM,CNALM.HSHHLD,3.84651747139682310e-01
SAM,CNALM.HURBLOW,7.19683034253466802e-01
SAM,CNALM.HURBUPP,3.66293961535826673e+00
SAM,CNALM.ROW,1.44292273050914055e+00
SAM,CNALM.S-I,2.74146639435983497e+00
SAM,CNALM.TOTAL,2.23782025675914653e+01
SAM,CNASE.AAGEX,1.34531703022385019e+00
SAM,CNASE.AAGFO,1.93896789774225836e-01
SAM,CNASE.AAGOT,4.73749037117444094e-01
SAM,CNASE.AMINE,3.43626431346293226e-01
SAM,CNASE.ANAFO,1.32044649553192817e+00
SAM,CNASE.ANAHI,4.10491910656391512e-01
SAM,CNASE.ANALM,2.16130038122954504e+00
SAM,CNASE.ANASE,2.08600052514501266e+00
SAM,CNASE.GOV,4.45904367669036539e+00
SAM,CNASE.HLSLOW,9.90344039597450612e-03
SAM,CNASE.HLSUPP,2.28492793944068628e+00
SAM,CNASE.HSHHLD,2.49994760947919503e-01
SAM,CNASE.HURBLOW,3.13640190319891043e-01
SAM,CNASE.HURBUPP,2.68957503310099533e+00
SAM,CNASE.ROW,1.59673249551231322e+00
SAM,CNASE.S-I,3.30969059413760369e-01
SAM,CNASE.TOTAL,2.02696151968465976e+01
SAM,COMTAX.TOTAL,0.00000000000000000e+00
SAM,DSTK.TOTAL,0.00000000000000000e+00
SAM,DUM.TOTAL,0.00000000000000000e+00
SAM,ENTR.CAPOT,1.07151472567362731e+01
SAM,ENTR.GOV,1.20921704622422110e+00
SAM,ENTR.TOTAL,1.19243643029604947e+01
SAM,ETAX.TOTAL,0.00000000000000000e+00
SAM,EXPTAX.TOTAL,0.00000000000000000e+00
SAM,FACTAX.TOTAL,0.00000000000000000e+00
SAM,GOV.ATAX,1.48152710001709820e+00
SAM,GOV.ROW,2.92467325076396722e-01
SAM,GOV.TAR,1.86461147831863139e+00
SAM,GOV.TOTAL,7.36419103148584853e+00
