variable,index,value
QG,CNAFO,0.04141881025801162
QG,CNALM,0.2517968092319076
QG,CNAHI,0.021464332330948202
QG,CNASE,4.4590436766903645
QH,CAGEX.HSHHLD,0.07864888756491432
QH,CAGFO.HLSUPP,0.06005809642468372
QH,CAGFO.HLSLOW,0.02166362498074023
QH,CAGFO.HSHHLD,0.39864648433833827
QH,CAGFO.HURBUPP,0.1305193002466334
QH,CAGFO.HURBLOW,0.2664836386102592
QH,CAGOT.HLSUPP,0.35409793363031394
QH,CAGOT.HLSLOW,0.014071682248439868
QH,CAGOT.HSHHLD,0.3560467689698149
QH,CAGOT.HURBUPP,0.05098444851212406
QH,CAGOT.HURBLOW,0.17072483088863394
QH,CNAFO.HLSUPP,1.71330658199513
QH,CNAFO.HLSLOW,0.022858742580603126
QH,CNAFO.HSHHLD,0.24658341505853082
QH,CNAFO.HURBUPP,1.9758734337290391
QH,CNAFO.HURBLOW,0.5310352772823431
QH,CNALM.HLSUPP,2.544725997991378
QH,CNALM.HLSLOW,0.029982105544461825
QH,CNALM.HSHHLD,0.37265036555178566
QH,CNALM.HURBUPP,3.5185288391215397
QH,CNALM.HURBLOW,0.6922255563765033
QH,CNAHI.HLSUPP,0.1141592581446091
QH,CNAHI.HLSLOW,0.002295569571424886
QH,CNAHI.HSHHLD,0.012232644326593921
QH,CNAHI.HURBUPP,0.40013366506561693
QH,CNAHI.HURBLOW,0.07118403504853929
QH,CNASE.HLSUPP,2.239537677574648
QH,CNASE.HLSLOW,0.009794037893571155
QH,CNASE.HSHHLD,0.2470615711539171
QH,CNASE.HURBUPP,2.61440450945206
QH,CNASE.HURBLOW,0.307375920520683
QINT,CAGEX.ANAFO,0.33500646153989433
QINT,CAGEX.ANALM,1.1731996014143855
QINT,CAGEX.ANASE,0.008264142813344377
QINT,CAGFO.ANAFO,0.23886607439282784
QINT,CAGOT.AAGEX,0.008238154779846204
QINT,CAGOT.AAGOT,0.24003937505939027
QINT,CAGOT.ANAFO,0.8038291836060928
QINT,CAGOT.ANALM,0.14887376796900467
QINT,CAGOT.ANASE,0.09194322869825755
QINT,CMINE.AMINE,0.0938503341955378
QINT,CMINE.ANAFO,0.039993583754262214
QINT,CMINE.ANALM,0.991459557365528
QINT,CMINE.ANAHI,0.29688761512205075
QINT,CMINE.ANASE,0.11825061485720692
QINT,CNAFO.AAGEX,0.07439431032393731
QINT,CNAFO.AAGFO,0.024130821993594224
QINT,CNAFO.AAGOT,0.33422214729819993
QINT,CNAFO.ANAFO,0.25846223002478014
QINT,CNAFO.ANALM,0.042886957109567185
QINT,CNAFO.ANASE,0.15589116624131003
QINT,CNALM.AAGEX,0.4641485234120475
QINT,CNALM.AAGFO,0.21921551634978698
QINT,CNALM.AAGOT,0.1471482257375824
QINT,CNALM.AMINE,0.5315395989381994
QINT,CNALM.ANAFO,0.41205473308324775
QINT,CNALM.ANALM,3.269414545280894
QINT,CNALM.ANAHI,1.435615345138608
QINT,CNALM.ANASE,4.050639250068237
QINT,CNAHI.AAGEX,0.039811623185214036
QINT,CNAHI.AAGFO,0.010611074753590079
QINT,CNAHI.AAGOT,0.030717827403684395
QINT,CNAHI.AMINE,0.04983611605876945
QINT,CNAHI.ANAFO,0.027091297635686927
QINT,CNAHI.ANALM,0.09885294382651949
