variable,index,value
QH,CNAFO.HSHHLD,0.2526844230017918
QH,CNAFO.HURBUPP,2.0543665693007003
QH,CNAFO.HURBLOW,0.5498411910823587
QH,CNALM.HLSUPP,2.626937504340417
QH,CNALM.HLSLOW,0.030943429812568403
QH,CNALM.HSHHLD,0.38465174713968214
QH,CNALM.HURBUPP,3.662939615358265
QH,CNALM.HURBLOW,0.7196830342534665
QH,CNAHI.HLSUPP,0.11553039947546959
QH,CNAHI.HLSLOW,0.002316880002367091
QH,CNAHI.HSHHLD,0.0123456167696233
QH,CNAHI.HURBUPP,0.40654873992299084
QH,CNAHI.HURBLOW,0.07207598001276386
QH,CNASE.HLSUPP,2.284927939440686
QH,CNASE.HLSLOW,0.009903440395974504
QH,CNASE.HSHHLD,0.24999476094791945
QH,CNASE.HURBUPP,2.689575033100995
QH,CNASE.HURBLOW,0.313640190319891
QINT,CAGEX.ANAFO,0.34348697799511096
QINT,CAGEX.ANALM,1.1366079588030424
QINT,CAGEX.ANASE,0.008312074835319799
QINT,CAGFO.ANAFO,0.2449128463421453
QINT,CAGOT.AAGEX,0.00812717383221093
QINT,CAGOT.AAGOT,0.2446077476682471
QINT,CAGOT.ANAFO,0.8241777063999979
QINT,CAGOT.ANALM,0.14423045262423745
QINT,CAGOT.ANASE,0.09247649935414938
QINT,CMINE.AMINE,0.09277409251359947
QINT,CMINE.ANAFO,0.041006000779211356
QINT,CMINE.ANALM,0.9605363165606563
QINT,CMINE.ANAHI,0.309840298871995
QINT,CMINE.ANASE,0.11893646833263194
QINT,CNAFO.AAGEX,0.07339210154307996
QINT,CNAFO.AAGFO,0.024356167373577056
QINT,CNAFO.AAGOT,0.3405829841509512
QINT,CNAFO.ANAFO,0.26500506858586026
QINT,CNAFO.ANALM,0.041549329475403275
QINT,CNAFO.ANASE,0.15679533488587685
QINT,CNALM.AAGEX,0.4578957102095316
QINT,CNALM.AAGFO,0.2212626577129366
QINT,CNALM.AAGOT,0.14994871596437967
QINT,CNALM.AMINE,0.5254440951035464
QINT,CNALM.ANAFO,0.4224856869469361
QINT,CNALM.ANALM,3.1674427678910813
QINT,CNALM.ANAHI,1.498248714147625
QINT,CNALM.ANASE,4.074132954610137
QINT,CNAHI.AAGEX,0.03927529778394778
QINT,CNAHI.AAGFO,0.010710166142727464
QINT,CNAHI.AAGOT,0.0313024418290462
QINT,CNAHI.AMINE,0.04926461350815992
QINT,CNAHI.ANAFO,0.027777099916444083
QINT,CNAHI.ANALM,0.09576975867437756
QINT,CNAHI.ANAHI,0.3070222514469428
QINT,CNAHI.ANASE,0.2975699376860931
QINT,CNASE.AAGEX,1.34531703022385
QINT,CNASE.AAGFO,0.19389678977422578
QINT,CNASE.AAGOT,0.473749037117444
QINT,CNASE.AMINE,0.34362643134629317
QINT,CNASE.ANAFO,1.320446495531928
QINT,CNASE.ANALM,2.1613003812295446
QINT,CNASE.ANAHI,0.4104919106563914
QINT,CNASE.ANASE,2.086000525145012
QINTA,AAGEX,1.9240073135926203
QINTA,AAGFO,0.4502257810034669
QINTA,AAGOT,1.2401909267300681
QINTA,AMINE,1.011109232471599
QINTA,ANAFO,3.4892978824976337
QINTA,ANALM,7.707436965258343
QINTA,ANAHI,2.525603175122954
QINTA,ANASE,6.834223794849221
QINV,CAGOT,-0.03030600000000001
QINV,CNAFO,-0.16586299999999998
QINV,CNALM,2.7414663943598336
QINV,CNAHI,2.774071735072056
QINV,CNASE,0.3309690594137603
QM,CAGEX,0.022928671865354407
QM,CAGFO,0.0422347875056594
QM,CMINE,0.12835925951810695
QM,CNAFO,0.20045471475770618
QM,CNALM,9.013723549505404
QM,CNASE,0.5050229228275096
QQ,CAGEX,1.568413410110875
QQ,CAGFO,1.137123496310404
QQ,CAGOT,2.2523001553057753
QQ,CMINE,1.523093177058094
QQ,CNAFO,5.4201886816983675
QQ,CNALM,20.93527983708232
QQ,CNAHI,4.263045250573958
QQ,CNASE,18.67288270133428
QVA,AAGEX,2.365069633058976
QVA,AAGFO,0.7595802233550699
QVA,AAGOT,0.9007789691522925
QVA,AMINE,1.1840912987506007
QVA,ANAFO,1.954810524413381
QVA,ANALM,5.177905038313616
QVA,ANAHI,1.5184532629621412
QVA,ANASE,12.414734083901479
QX,CAGEX,4.39601387558161
QX,CAGFO,1.1866300043585372
QX,CAGOT,2.278990799430893
QX,CMINE,2.285411576489412
QX,CNAFO,5.399882406911015
QX,CNALM,13.364479018086058
QX,CNAHI,4.263045250573958
QX,CNASE,19.764592274019083
QXAC,AAGEX.CAGEX,4.39601387558161
QXAC,AAGFO.CAGFO,1.1866300043585372
QXAC,AAGOT.CAGOT,2.278990799430893
QXAC,AMINE.CMINE,2.285411576489412
QXAC,ANAFO.CNAFO,5.399882406911015
QXAC,ANALM.CNALM,13.364479018086058
QXAC,ANAHI.CNAHI,4.263045250573958
QXAC,ANASE.CNASE,19.764592274019083
TABS,,30.590231637948172
TRII,HLSUPP.ENTR,5.516229129527897
TRII,HSHHLD.HURBUPP,0.08115832842210079
TRII,HSHHLD.HURBLOW,0.18222823189544876
TRII,HURBUPP.ENTR,3.3015478674027436
WALRAS,,0.0
WF,LABUSKLS,0.37485369084534753
WF,LABUSKF,1.131683785587246
WF,LABUSKIF,0.8662247082688137
WF,LABSK,31.901052358669016
WF,CAPLSC,1.0
WF,CAPSH,1.0
WF,CAPOT,1.0
WF,LANDLS,0.9182892020702761
WF,LANDSH,0.04766033235377464
YF,LABUSKLS,0.10633324706733636
YF,LABUSKF,0.7572469665013507
YF,LABUSKIF,2.1811538154208727
YF,LABSK,9.811200553961015
YF,CAPLSC,1.7163677274270208
YF,CAPSH,0.26327492148005754
YF,CAPOT,10.843798129666787
YF,LANDLS,0.45965333325308505
YF,LANDSH,0.13639433913003227
YG,,6.94480892698173
YIF,HLSUPP.LABSK,0.8110609053385974
YIF,HLSUPP.CAPLSC,1.7163677274270208
YIF,HLSUPP.LANDLS,0.45965333325308494
YIF,HLSLOW.LABUSKLS,0.10633324706733932
YIF,HSHHLD.LABUSKIF,0.6970300907599382
YIF,HSHHLD.CAPSH,0.26327492148005766
YIF,HSHHLD.LANDSH,0.13639433913003227
YIF,HURBUPP.LABSK,8.972165080022375
YIF,HURBLOW.LABUSKF,0.7572469665013505
YIF,HURBLOW.LABUSKIF,1.4841237246609345
YIF,HURBLOW.CAPOT,0.128650872930513
YIF,ENTR.CAPOT,10.715147256736273
YI,HLSUPP,9.243293960387767
YI,HLSLOW,0.10633324706733649
YI,HSHHLD,1.8401323884573837
YI,HURBUPP,12.38234185488072
YI,HURBLOW,2.611092519672426
YI,ENTR,11.388363954681177
