,1,2,3,4,5,6,7,8,9
1,9.42E-02,0,5.85E-02,8.18E-02,8.53E-02,1.57E-02,1.79E-02,7.24E-02,1.42E-02
2,2.02E-02,3.42E-02,4.13E-02,1.64E-02,1.22E-02,4.90E-02,8.25E-02,2.69E-02,0
3,0,5.62E-02,4.91E-02,4.03E-02,7.10E-02,4.91E-02,6.69E-02,0,4.32E-02
4,8.17E-02,4.79E-02,5.90E-02,5.34E-02,4.50E-02,4.53E-02,1.67E-02,8.70E-02,8.98E-02
5,4.22E-02,8.22E-02,4.20E-02,7.45E-02,2.20E-02,4.56E-02,6.48E-02,0,1.97E-02
6,2.60E-02,2.12E-02,5.54E-02,7.16E-02,8.13E-02,1.58E-02,0,4.37E-02,7.44E-02
7,2.18E-02,6.91E-02,7.04E-02,2.20E-02,5.44E-02,7.82E-02,0,1.77E-02,1.50E-02
8,7.56E-02,3.04E-02,1.69E-02,2.77E-02,0,4.03E-02,8.59E-02,5.48E-02,3.73E-02
9,3.83E-02,5.88E-02,7.48E-03,1.22E-02,2.88E-02,6.09E-02,6.53E-02,9.76E-02,0.106492884
