"","1","2","3","4","5","6","7","8","9"
"1","4.3802445071501345e-3","0.0","4.116357594731457e-3","1.0767040511205826e-2","4.021345387325281e-3","1.6999635144914426e-3","7.052519975414342e-4","4.634710547271138e-3","1.6187089985397467e-2"
"2","9.389161887300992e-4","5.962851757554177e-4","2.906653244178337e-3","2.1594528427336893e-3","5.761744848675864e-4","5.307867247929847e-3","3.246267930515324e-3","1.7201723288035268e-3","0.0"
"3","0.0","9.80780523589475e-4","3.4545306013414427e-3","5.305331625960052e-3","3.343875397095398e-3","5.314245862139001e-3","2.6337405432847127e-3","0.0","4.935445535081296e-2"
"4","3.7986686622339936e-3","8.354123555289307e-4","4.15341458375402e-3","7.029859748531386e-3","2.123096992339502e-3","4.903664599691211e-3","6.581556925888024e-4","5.575124398167919e-3","0.10250022690818304"
"5","1.963073587459219e-3","1.4351704516008203e-3","2.9593266726013257e-3","9.800517852746892e-3","1.0360852363785816e-3","4.94111739019003e-3","2.548961100312486e-3","0.0","2.2444351790849287e-2"
"6","1.2115783364797794e-3","3.7049295231386117e-4","3.896424147949728e-3","9.42388805107193e-3","3.829927164770641e-3","1.7133029690810987e-3","0.0","2.801595065789009e-3","8.500214307273359e-2"
"7","1.015056603769759e-3","1.2053664045912353e-3","4.952828427423307e-3","2.9000813009196313e-3","2.5645582807332546e-3","8.460233055005468e-3","0.0","1.130914627107926e-3","1.7118376941200667e-2"
"8","3.5149268668771337e-3","5.304262874715191e-4","1.1885588366191354e-3","3.6419651182896477e-3","1.356378689347682e-3","4.36733838738564e-3","3.3788249469859366e-3","3.5108668695769123e-3","4.256603667135973e-2"
"9","1.782336865340617e-3","1.0267816265547844e-3","5.266898530912388e-4","1.602912524942335e-3","0.0","6.592007678167277e-3","2.5677640450742167e-3","6.248745232845464e-3","0.12161035734978382"
