"","1","2","3","4","5","6","7","8","9","10"
"1","9.417449531743134e-2","0.0","5.848182106931149e-2","8.183033093859843e-2","8.532706337570667e-2","1.5704144984232973e-2","1.7923718395639974e-2","7.235480759132029e-2","1.4174860830016784e-2","1.8198210128977398e-2"
"2","2.0186534809804063e-2","3.416756646562018e-2","4.129533720640092e-2","1.6412006677532325e-2","1.2225579265265695e-2","4.9033709316691126e-2","8.250269751269043e-2","2.6854479175153458e-2","0.0","1.512752503723504e-2"
"3","0.0","5.61994245211333e-2","4.9079127810631125e-2","4.032092590711801e-2","7.095214174533393e-2","4.909263451213593e-2","6.693554075648457e-2","0.0","4.321916642028719e-2","1.870837718066402e-2"
"4","8.167071576942941e-2","4.78697246624987e-2","5.900829627257435e-2","5.342747146493532e-2","4.5049010758708284e-2","4.529971330040025e-2","1.6726783242837825e-2","8.703608327056772e-2","8.975834771903672e-2","8.234266970280056e-2"
"5","4.220574081382401e-2","8.223629194278304e-2","4.204367792881201e-2","7.448468485143724e-2","2.1984212275258094e-2","4.5645699580128075e-2","6.47809026032402e-2","0.0","1.965427778199943e-2","2.4705574920661045e-2"
"6","2.6048723579081213e-2","2.1229510791033687e-2","5.535718765594361e-2","7.162226956839463e-2","8.126544885765302e-2","1.5827373940090702e-2","0.0","4.3737115806154254e-2","7.443546365628995e-2","0.0"
"7","2.182354049473956e-2","6.90683559123047e-2","7.036571027022898e-2","2.2040839574821912e-2","5.4416173164450625e-2","7.815504589576305e-2","0.0","1.765527952868951e-2","1.4990378813992095e-2","8.601414359553554e-2"
"8","7.557031650301003e-2","3.039380512745651e-2","1.6886065803046586e-2","2.7679213297864366e-2","0.0","4.034516896747969e-2","8.587158500659207e-2","5.480991622585303e-2","3.727462109904936e-2","8.039255580571773e-2"
"9","3.8319932712680395e-2","5.8835320577169885e-2","7.482775983051026e-3","1.2182257719297762e-2","2.8780370557623714e-2","6.0896509503078206e-2","6.525877248251498e-2","9.755231840226175e-2","0.10649288367932855","7.45109436284087e-2"
"10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
