"Time","Material_1","Material_2","Material_3","Material_4","Material_5","Material_6","Material_7","Material_8","Material_9","Material_10"
"1","80.0","80.0","80.0","73.3667060048642","80.0","80.0","71.46104411973734","74.40110660696708","77.0520868175717","0.0"
"2","80.0","80.0","80.0","50.90372531712464","80.0","80.0","45.03981852090919","52.77582280089202","59.28044156965823","0.0"
"3","80.0","80.0","80.0","32.78875313612271","80.0","80.0","26.191674135888572","37.66556879277742","42.742073395489314","0.0"
"4","80.0","80.0","80.0","26.005125013028156","76.80557638290846","80.0","26.10482242504365","32.58081788303437","33.87186060816134","0.0"
"5","71.84455971865225","80.0","77.11312881024212","19.742969009044668","63.31601733984609","80.0","23.364649937870446","29.017344045140696","27.72925627605144","0.0"
"6","60.21132643132996","80.0","66.50909178966954","12.820393620513004","49.6363843190398","80.0","19.2174430418374","26.612097236309197","25.559819817112135","0.0"
"7","48.0280074726977","72.37897802810397","53.11671944022954","22.469422175888663","35.745775611562046","78.85378608574021","18.24547565193042","29.733753025436954","33.75615476783809","0.0"
"8","41.13227383578172","63.75755091079182","42.22883801458941","24.04483522114644","31.39423275331791","71.4499933652772","16.56766088203885","33.69270000052349","28.94751077477021","0.0"
"9","37.53477736030361","55.795174111552484","33.13978626071426","20.796914424113034","28.23229710885464","65.347589928518","12.89848433481354","31.837707405195623","26.975305990886664","0.0"
"10","31.997293123312105","47.97848842261945","25.844428540579198","18.863896312944654","25.363952811161795","59.19565154621348","10.671834383228335","31.34643207025083","25.833633697247937","0.0"
"11","27.209667225117965","39.991594022622905","22.367637661854353","16.480995751864803","23.455614754605406","52.27918050039017","11.026753268741597","30.531790765684033","24.877365086973377","0.0"
"12","24.886091831917305","33.444484403770645","19.30474908310267","15.6434089032764","21.382885104354244","45.28467562903591","11.120756015971807","30.080392741617356","24.064964713893417","0.0"
"13","22.541009283410993","27.79652203052412","17.900432721010308","15.252218497871336","19.22738120531261","38.438282046861204","10.937673750047542","29.788363086448488","23.49086123988157","0.0"
"14","20.452554089519595","23.561615761835625","17.70219753918252","14.38389338819744","18.438931307014673","33.6560511209885","10.74167579014082","29.392401003434646","22.501039021519674","0.0"
"15","16.93844293531624","21.144127085689444","16.133829437985842","13.366677006956767","16.19221753103115","27.645052033266165","11.652950580759267","28.782689034954085","21.32064890404365","0.0"
"16","14.576984640678571","19.849719035567908","12.69755434595416","13.69673494977937","15.59222053564652","20.82736448525463","11.490222581443765","28.238350959846095","22.097673971803736","0.0"
"17","12.561953438296756","18.606965768316215","12.073429130554086","16.744769996793366","15.34857668242713","15.983332796168678","10.782777877956814","29.743436337454792","24.526679425267172","0.0"
"18","12.885849704039178","16.90272266418145","12.388245939018443","10.166814932214354","16.20275625260246","12.971844308251903","11.1734567292158","31.558063941096687","17.323701373778587","0.0"
"19","13.151591356241278","15.343795265496393","10.740339718037239","4.46842188787123","15.177882189735529","9.549271335143393","11.842770995619265","22.78228623669373","14.503851510806122","0.0"
"20","12.151318997825474","13.982819662418121","9.32165441667107","2.3462080680770887","13.952630073193404","7.020678750225369","10.394987863267424","21.643979519332117","13.363078342127213","0.0"
"21","11.28482991089305","13.172971918474245","8.454210545441379","1.114947333930437","12.961170706302942","6.240557112762023","10.80203743201008","20.837377214162473","12.383825739552094","0.0"
"22","10.592567623629353","12.637937961149964","7.5548053527543875","0.8495031479380537","12.437576883478481","5.971606410195216","11.297743244280888","21.41384294004344","11.996358694125833","0.0"
"23","11.702929132663847","12.258443262765855","7.6102735782704425","3.187998967090232","13.09211829956437","6.5167219445024","12.611423529698948","24.098625795310017","12.57164461387614","0.0"
"24","12.824975710147188","12.409885721643827","8.046092327970813","4.9569014604229595","13.705780687161397","7.555291074830089","15.840344963143082","26.28864496577925","13.749282849099135","0.0"
"25","12.10809721010982","11.60442112879219","6.936707800375892","3.7294929391907203","13.201582042288504","7.125244804270729","15.871632407538804","24.327789831759674","12.722106492388164","0.0"
"26","11.45266178727655","13.832455592866221","7.484105401321321","4.208638859877768","10.81318130659346","4.35256614072349","13.509317818728595","23.179985895791248","13.667752880177659","0.0"
"27","20.764336630692497","14.33613311220404","13.472051369499084","23.55468840721831","24.625052743357994","13.646054642385929","21.681425097016458","37.37116606531973","23.055558739247495","0.0"
"28","23.358320035391444","11.890266303286985","11.092466149122574","18.538034557215315","28.046936918892687","21.46363328204886","24.112015533609345","34.84035040487788","21.842628396307006","0.0"
"29","22.74204952426482","16.46422440673511","12.538692177915674","19.097810780925382","25.84167371252379","17.82832283981548","23.88320244082984","35.05303222987174","22.704364426498536","0.0"
"30","22.957413532206953","15.682245236028784","12.025831089190584","19.25384178053323","26.17543706848228","17.575756706772726","24.07031781861525","35.07740963036132","22.775942530408905","0.0"
"31","22.5673034771123","15.461620626120245","11.570667633929359","18.828476005157437","26.056670570023424","17.0815775971893","23.933889867666466","34.90859742973173","22.26369339288682","0.0"
"32","22.335079888635985","15.244554985320752","10.995135580890464","18.44599222660546","25.914478397962156","16.654642123675007","23.81302978979921","34.484185988377696","22.06289088331173","0.0"
"33","21.95026162636619","15.179671253820295","10.654020945430819","18.247742627559862","25.781192210078313","16.478276768058002","23.687968365768363","34.29615959739956","22.06077476941216","0.0"
"34","21.89239110277332","15.308088320242454","10.586026013871704","18.25489676080054","25.682875131011702","16.39217693719753","23.66373026243668","34.313177211664666","22.044026529636035","0.0"
"35","22.06477480063348","15.37791256318476","10.495750684136087","18.575087240480038","25.95684069683567","16.76522031566884","24.032156149969595","34.5720187375822","22.0634611581956","0.0"
"36","22.821467852543563","15.191497061370553","10.722333856602523","19.726096274378644","27.26838934829352","18.08035637179355","24.849483699730776","35.51911402033805","22.36480519521838","0.0"
"37","24.60922002723343","15.859197891546607","11.36729243093893","22.585712368300225","29.707955472063674","20.36541939741876","27.034898331271656","37.704340732110445","24.341747573113594","0.0"
"38","24.846628779566437","16.787433004297053","10.021283452130634","21.58387211236669","28.408655359997372","20.36541939741876","27.039352840121985","35.81016494004165","26.44021562833343","0.0"
"39","16.674874509806777","17.976842604247466","8.15369221045507","8.901950328007231","17.982485512170925","16.610878503138885","14.900062279053834","26.895339968207644","18.287671824052715","0.0"
"40","16.16454953705912","13.124235090968043","6.214382258430522","7.971601839881712","14.799442766727664","9.459859193045782","14.192789696870193","26.018893054760618","17.17818534485869","0.0"
"41","15.495876312290896","12.888085368167653","5.107018248450439","6.8712393228974324","13.763913199830276","4.104681262346909","13.066990027685804","25.40570724284472","16.644142524092675","0.0"
"42","14.99371999297831","12.304202648383091","4.247758293366584","6.141393949983094","13.150146411565048","3.6045911222719185","12.231880777368758","24.833452395772397","16.10271596227227","0.0"
"43","14.692165219440014","12.07972333564766","3.723812984341461","5.739166348130825","12.839363170366273","3.2813144813300275","11.941419651599094","24.51962044389308","15.814458196382244","0.0"
"44","14.52157283789822","11.977451015288255","3.3379714875686584","5.503639456634244","12.688945361338487","3.1297190700863533","11.806454499441443","24.29007067624141","15.5944231357019","0.0"
"45","14.35779605226635","11.937140451879435","3.0047616703205","5.334789377111183","12.601716031033714","3.046701169505341","11.77980300745109","24.172634944820658","15.371779544248575","0.0"
"46","14.178208330297132","11.895424812765253","2.783726587188398","5.130650232779377","12.49921878324859","2.9585113582475007","11.755133885670151","24.039152501423832","15.170374640353492","0.0"
"47","13.91214996868148","11.808122516914988","2.634805179271643","4.841058219425394","12.342214076289563","2.8145747508238257","11.685890923265958","23.832365163336046","14.967175074842276","0.0"
"48","13.466732109878393","11.66996841233763","2.4028112778827655","4.360593802258851","12.093672964576943","2.539811269770375","11.54980163027416","23.51255662523468","14.79664301974595","0.0"
"49","13.383717012157692","11.794623287030305","2.4599037713987983","4.197684603156079","12.082823194434352","2.6128193413022367","11.736217851014676","23.39265788698416","14.902190833889199","0.0"
"50","14.63002991876035","12.492445238399938","3.5994434762584584","5.843740358089468","13.319233992494816","4.245147977441329","12.492701345925248","23.976025957709624","12.865310892010204","0.0"
"51","12.73508019643987","11.717623365987743","2.1726255948144066","3.5720551566047627","12.10596618723141","1.6184257818144854","12.475694864646677","23.283090896404502","15.472469066750357","0.0"
"52","12.103425388809017","11.205506768744947","1.3872471912974849","2.399496723258095","11.130087221728372","0.8417401445239643","11.230239038255052","22.46691541795562","17.85085879688555","0.0"
"53","11.728964095878162","10.746827346301329","1.0091634298592547","1.509030128128386","10.68621530603003","0.5981186887496918","10.79270579926417","21.45836260364873","17.67412483518753","0.0"
"54","11.292688401095416","10.622615300858545","0.7637372417324715","1.9076885760034168","10.445693906695416","0.2282239960491958","10.762228206986105","22.006307419362717","17.247199870489613","0.0"
"55","11.450885522452479","10.516164957464115","0.502279965786133","2.7839646756011227","10.440247781666745","0.10476726768217598","10.328395272818238","22.752753739418925","17.13010790085736","0.0"
"56","12.47549420557041","10.505851502829632","0.8743670579695175","3.600119348708922","10.615909449484345","0.14792888229552292","10.293910041762981","23.212406230611464","17.21954273767532","0.0"
"57","13.017347057537354","10.632267723744443","1.3714955801243804","3.6009944129823914","10.720943855497426","0.28867613799772107","10.667104644986484","23.1070858498413","17.310720682653628","0.0"
"58","12.701199079306395","10.869649059594453","1.4759740261448766","3.506422875525522","10.934573611224344","0.8336007533955011","10.5805108419117","23.185417558610524","17.229544541398436","0.0"
"59","12.713360239909441","10.90205184788335","1.3813554669990038","3.4742405040035433","10.908960150220445","0.8165787085215196","10.678825822118394","23.152193740785414","17.209479048215638","0.0"
"60","12.71743391814575","10.897138411389323","1.4025136868187738","3.425820347094445","10.948793727911006","0.7509865854632809","10.694510804164882","23.1094359858557","17.214656544730907","0.0"
"61","12.71823299501348","10.89000889255771","1.3995515698187946","3.412799224912789","10.940460478100333","0.7586211758148403","10.69185564082618","23.10116962967667","18.226146239521732","0.0"
"62","12.871542749708592","11.02007587287136","1.5405805033119213","3.754578337093836","11.149686628912313","0.9698490647489547","10.967612021805753","23.38584592953269","18.0637329647802","0.0"
"63","12.739480100496461","10.830272047095193","1.6317459584744065","3.696470309973796","11.003119743864545","1.0781957267367057","11.090874340301063","22.81867559840613","14.8311346827705","0.0"
"64","12.584820369653542","10.694002915278665","1.480462396064929","3.7408246017190594","10.831328166749381","0.9143420033577752","10.962287240997853","22.923051448261134","13.212337635519953","0.0"
"65","12.726660546946688","10.69709331048255","1.3230184751788971","3.623949427939622","10.716626260831333","0.7384557762333078","10.41162799865035","23.156178323769222","13.092665531754978","0.0"
"66","12.944439637435522","10.7584813584739","1.3817531020855864","3.1044827802612573","10.72454077067175","0.7352243132520662","10.544772664972076","22.930145661713578","14.62344901142259","0.0"
"67","12.41123533095681","10.800649810370581","1.4094026634785883","2.490780098250523","10.724002362034183","0.9289406126105317","11.066978030721884","22.37659735685648","15.516850409668448","0.0"
"68","11.037811333512419","10.82078741884007","1.0506886472630126","2.4869548558378094","10.634182332812799","0.9212594603989259","11.53199045014713","22.28702251073839","15.437532523010244","0.0"
"69","10.706548326769383","10.385400774114391","0.6589754842430877","2.681276975818759","10.370747434408424","0.39518722759244335","10.327263035981186","22.358156329131436","15.171290687736619","0.0"
"70","12.10541670553886","10.181799776601501","0.7220518851912914","2.963804000672235","10.53381140321687","0.3100669045254431","10.483032956784577","22.62012756291789","15.152148777434814","0.0"
"71","12.94730191059448","10.116261341713761","0.5514828350928552","2.450721752416449","10.269376922935615","0.1621280111521401","10.526338031557604","22.335558612050047","15.005270992439073","0.0"
"72","12.665902080106504","10.653923254253785","1.0432537516034335","3.1025447252117666","10.321218604556947","0.21979699337514075","10.919249786243101","22.985000941745156","15.300294025944213","0.0"
"73","12.567477929348808","11.367123250813266","1.4241848116531997","3.661422033177117","11.080980124938856","0.24521664312395985","11.425841826785643","23.13650277342802","15.50049228471978","0.0"
"74","12.607374767229249","11.248785476602587","1.5383679464874618","3.7206012824928667","11.53940702817756","0.8331490107883958","11.09909246146586","23.19858365447171","15.516762073153526","0.0"
"75","12.724072086500042","11.201156120352096","1.4514686269437025","3.435565768921518","11.366252274987865","0.75279256931487","11.182194580534468","23.045830277998288","15.304476020898383","0.0"
"76","12.665665194965364","11.197828799984986","1.4034264205742386","3.250570940077897","11.349402725619617","0.6495646801210379","11.129576017643313","22.86696592088225","15.665103628461729","0.0"
"77","12.652445574655385","11.165739237077482","1.441202626993587","3.2391568382624842","11.356204533083575","0.7032288651977677","11.082109798232345","22.733621534702593","15.17113175308971","0.0"
"78","12.648468500410269","11.16176742023461","1.4497130146694726","3.313796900104569","11.359722836122641","0.6834953949105697","11.060886298357392","22.742774755631594","14.044373389573604","0.0"
"79","12.672240772150614","11.188880858936242","1.393693688481307","3.1782345940328156","11.330165807008434","0.5980027266747688","11.116452512856657","22.799297329664462","13.921772461978442","0.0"
"80","13.031346912537874","11.192701019475535","1.3583925067597475","3.0563353948518435","11.297810916408258","0.5607124808769944","11.164152608392605","22.85850803418681","14.436500204401508","0.0"
"81","12.7342772631809","11.233526632269633","1.3912391284608758","3.067638335320551","11.275608418322097","0.6098545622790843","11.53453100696144","22.893008138330227","14.885071325354474","0.0"
"82","11.371054067290398","11.455506205580727","1.4816881669141684","3.1529583705552917","11.385372427039789","0.6979669539782011","11.505573175958489","22.89649884310465","14.969930675247216","0.0"
"83","10.905971671353079","11.427226050258453","1.5068730684765528","3.2286224716599583","11.607923432946677","0.8162325017414725","11.241695358696795","22.634066703817354","14.829150378205956","0.0"
