"Asset","","Liability",""
"Cash","5.670746567521379","Equity",""
"Cash","1.5383113028529518","RetainedEarnings","5.670746567521379"
"Cash","0.4174787938806954","RetainedEarnings","7.2090578703743295"
"Cash","2.5178170958275015e-2","RetainedEarnings","7.626536664255025"
"Cash","4.304583309913168e-2","RetainedEarnings","7.50093024269133"
"Cash","2.6752641308275926e-2","RetainedEarnings","7.332511581214738"
"Cash","1.582692199853175e-2","RetainedEarnings","7.119365989955504"
"Cash","9.46775389650567e-3","RetainedEarnings","6.960086566902"
"Cash","5.740452262266438e-3","RetainedEarnings","6.799649066332767"
"Cash","3.5336243189983962e-3","RetainedEarnings","6.71541483612376"
"Cash","2.2113502393037443e-3","RetainedEarnings","6.606935214680718"
"Cash","1.4081396043421068e-3","RetainedEarnings","6.632113385638991"
"Cash","7.216890975597634e-5","RetainedEarnings","6.582770870814752"
"Cash","9.126918675396167e-4","RetainedEarnings","6.625816703913884"
"Cash","1.4396154416056184e-4","RetainedEarnings","6.601092900847649"
"Cash","3.8144244193262615","RetainedEarnings","6.627845542155925"
"Cash","2.7966516875090637","RetainedEarnings","6.614964044350169"
"Cash","4.482741000064989","RetainedEarnings","6.630790966348702"
"Cash","0.5513887972497198","RetainedEarnings","6.624205802167855"
"Cash","1.3755881219194226","RetainedEarnings","6.633673556064361"
"Cash","2.3635705629972534","RetainedEarnings","6.630453733379521"
"Cash","3.0333422637112557","RetainedEarnings","6.636194185641788"
"Cash","4.1120770828300124e-2","RetainedEarnings","6.634738629414736"
"Cash","2.7101479671329187","RetainedEarnings","6.638272253733734"
"Cash","3.5792812215919803","RetainedEarnings","6.6377146017231325"
"Cash","3.5750989598350706","RetainedEarnings","6.639925951962437"
"Cash","3.1528910426775987","RetainedEarnings","6.639803989425338"
"Cash","2.7654183320513006","RetainedEarnings","6.64121212902968"
"Cash","2.3547844228795896","RetainedEarnings","6.6412842979394355"
"Cash","2.0314302713170473","RetainedEarnings","6.642196989806975"
"Cash","1.7223704582709267","RetainedEarnings","3.8144244193262615"
"Cash","1.2439641206646375","RetainedEarnings","6.611076106835325"
"Cash","1.175582734968387","RetainedEarnings","3.559862746114618"
"Cash","0.9969954196777904","RetainedEarnings","2.295462342463587"
"Cash","0.8683793156446757","RetainedEarnings","4.482741000064989"
"Cash","0.7529596501972193","RetainedEarnings","5.0341297973147086"
"Cash","0.6399991999572281","RetainedEarnings","4.791233383870567"
"Cash","0.5523752099668169","RetainedEarnings","4.135766362045276"
"Cash","0.4703641981183657","RetainedEarnings","3.5540683560180977"
"Cash","0.4052850456575636","RetainedEarnings","2.97833241469408"
"Cash","0.345621913135544","RetainedEarnings","2.5212213972889357"
"Cash","0.29741858313161984","RetainedEarnings","2.0977943538805777"
"Cash","0.25392099208153973","RetainedEarnings","1.7959899495873737"
"Cash","0.21829139357731098","RetainedEarnings","1.4942762088265762"
"Cash","0.18652725113592594","RetainedEarnings","1.411317633916502"
"Cash","0.16023294269672061","RetainedEarnings","1.2314094731775014"
"Cash","0.13700767228750876","RetainedEarnings","1.2022518858704658"
"Cash","0.1176258526586812","RetainedEarnings","1.0551785115691912"
"Cash","0.10062734894333347","RetainedEarnings","0.9157117963790107"
"Cash","8.63537465293076e-2","RetainedEarnings","0.797943847858078"
"Cash","7.390317402095536e-2","RetainedEarnings","0.695294390212009"
"Cash","1.8725903825802988","RetainedEarnings","0.6086115278765456"
"Cash","5.534729861504854","RetainedEarnings","0.533372564469011"
"Cash","4.392579028497341","RetainedEarnings","0.4696194590060313"
"Cash","4.550370853834551","RetainedEarnings","0.41444910985262606"
"Cash","3.33997219452111","RetainedEarnings","0.36757805733884574"
"Cash","3.262916868588732","RetainedEarnings","0.32711024482076584"
"Cash","2.4842995539641883","RetainedEarnings","0.29266078354535446"
"Cash","2.248359173957761","RetainedEarnings","0.2629699753267787"
