"Time","Production_1","Production_2","Production_3","Production_4","Production_5","Production_6","Production_7","Production_8","Production_9","Production_10"
"1","13.648657596733047","11.34564377792628","14.031282885498014","61.75700227710041","18.529181190495784","0.0","64.51060769665165","60.29441685428829","55.88320772130652","0.0"
"2","28.7002221529944","20.76980309775164","25.89560733134888","79.71984384158776","30.912883094580682","14.098880196717307","70.85110442589556","75.07766808323981","73.97398777588396","0.0"
"3","34.99924285959692","23.943213092457185","30.50888311783293","87.27313025839334","35.8420333718842","19.857027363782123","75.36921414524546","80.15338819953737","80.05386759127049","0.0"
"4","37.525762876875696","25.344934647959228","32.41580382554024","90.16122055661769","37.908801931910475","22.05110223375311","77.11596720144576","82.2798067428423","82.39659998305554","0.0"
"5","38.54073038674766","25.904042811320696","33.17714562337749","91.31856011528842","38.730787733658914","22.929155171548643","77.82236179941083","83.12735319232132","83.32986316632605","0.0"
"6","38.94668543274772","26.12821230786751","33.4816435207114","91.7811329883218","39.06007139756541","23.279733831360396","78.10451698500184","83.46692080435248","83.70308273207148","0.0"
"7","39.10909542804519","26.217845883063745","33.60342823483192","91.96618933193236","39.19175178414253","23.41999472082251","78.21738879717097","83.60273120881321","83.8523746111776","0.0"
"8","39.174060108990645","26.253699953350214","33.652140509232986","92.0402120377075","39.24442504982563","23.47609757834556","78.26253561849136","83.65705726381906","83.91209188023709","0.0"
"9","39.20004614669283","26.268041387260325","33.67162528290667","92.06982128190944","39.265494225254066","23.498538863489813","78.28059428101704","83.6787876654549","83.93597886601495","0.0"
"10","39.21044057215077","26.273777953940854","33.679419177964476","92.08166498909767","39.27392189364098","23.50751537833594","78.28781773501476","83.68747983298113","83.94553366687344","0.0"
"11","39.21459834349914","26.276072579441074","33.682536734734725","92.08640247310541","39.277292960381914","23.511105984937096","78.29070711574434","83.69095670024187","83.94935558791445","0.0"
"12","39.216261452138056","26.276990429551457","33.68378375732207","92.08829746680635","39.27864138703691","23.512542227618262","78.29186286795071","83.69234744718291","83.95088435639329","0.0"
"13","39.21692669560307","26.277357569586606","33.68428256634601","92.08905546429602","39.27918075769458","23.513116724695273","78.29232516882541","83.69290374596225","83.95149586379078","0.0"
"14","39.21719279298994","26.277504425599844","33.68448208995458","92.08935866329276","39.27939650595725","23.51334652352648","78.29251008917457","83.69312626547428","83.95174046675034","0.0"
"15","39.217299231944764","26.277563168005067","33.684561899397906","92.0894799428915","39.27948280526229","23.51343844305901","78.29258405731417","83.69321527327911","83.9518383079342","0.0"
"16","39.2173418075267","26.27758666496715","33.68459382317523","92.08952845473104","39.279517324984305","23.51347521087201","78.29261364457","83.69325087640105","83.95187744440774","0.0"
"17","39.21735883775948","26.27759606375198","33.68460659268616","92.08954785946685","39.27953113287311","23.51348991799722","78.29262547947233","83.69326511764982","83.95189309899718","0.0"
"18","39.217365649852596","26.27759982326591","33.68461170049052","92.08955562136116","39.279536656028625","23.51349580084731","78.29263021343326","83.69327081414933","83.95189936083295","0.0"
"19","39.21736837468983","26.277601327071487","33.68461374361228","92.0895587261189","39.27953886529084","23.513498153987335","78.29263210701764","83.69327309274912","83.95190186556724","0.0"
"20","39.21736946462474","26.277601928593715","33.68461456086097","92.08955996802199","39.279539748995724","23.513499095243347","78.29263286445139","83.69327400418905","93.95190286746097","0.0"
"21","39.35911850889886","26.277602169202602","34.11680655196332","92.9871439419736","39.47608288029767","24.257854108308653","78.4425369555648","84.06602057975552","85.01683210501174","0.0"
"22","39.4026559901024","26.374321015630784","33.848564694220414","92.34770502377138","39.43948873459887","23.72872850564438","78.43733651379502","83.84481409412038","84.17638454850709","0.0"
