"Time","Profit_1","Profit_2","Profit_3","Profit_4","Profit_5","Profit_6","Profit_7","Profit_8","Profit_9","Profit_10"
"13","23.530422114747843","15.766561397766024","20.210769063417185","55.25373647757348","23.567724202879816","14.10809983364797","46.97558002164513","50.21596476708909","50.37114212123346","-300.0"
"14","23.53042211474871","15.766561397765203","20.21076906341617","55.25373647757436","23.56772420287942","14.108099833648371","46.9755800216444","50.215964767089375","50.371142121234016","-300.0"
"15","23.53042211474879","15.766561397765127","20.21076906341607","55.25373647757442","23.567724202879383","14.108099833648414","46.97558002164434","50.21596476708939","50.371142121234065","-300.0"
"16","23.530422114748795","15.766561397765118","20.21076906341606","55.253736477574435","23.567724202879383","14.10809983364841","46.975580021644326","50.2159647670894","50.37114212123407","-300.0"
"17","23.530422114748802","15.76656139776512","20.210769063416066","55.253736477574435","23.567724202879386","14.108099833648419","46.97558002164433","50.21596476708939","50.37114212123406","-300.0"
"18","23.530422114748802","15.76656139776512","20.210769063416066","55.253736477574435","23.56772420287938","14.108099833648415","46.97558002164432","50.2159647670894","50.37114212123407","-300.0"
"19","23.530422114748795","15.766561397765123","20.210769063416066","55.253736477574435","23.567724202879383","14.108099833648415","46.97558002164433","50.21596476708939","50.37114212123406","-300.0"
"20","23.530422114748802","15.766561397765123","20.21076906341606","55.25373647757443","23.567724202879383","14.108099833648417","46.97558002164433","50.2159647670894","60.37114212123407","-310.0"
"21","23.672170723048964","15.766561397765118","20.642960727618934","56.1513199547648","23.76426698069938","14.852454470211317","47.12548380978424","50.5887109780799","47.43607095802735","-300.0"
"22","23.659008586542857","15.863280147949743","20.20184207343508","55.152847446981944","23.649055582479804","14.02558686232092","47.06032173156909","50.21840586221816","50.169651706502385","-300.0"
"23","23.538237216485236","15.77444270305025","20.210382374349162","55.24642167154728","23.572766210304945","14.096194765888576","46.9772142237986","50.224590437344084","50.35975039723188","-300.0"
"24","23.531272095097396","15.766696779307493","20.210288405598185","55.25378180745379","23.567590473905483","14.107676043018785","46.97543193750835","50.216439182393955","50.37082327571656","-300.0"
